distance,mean_mi,std_mi
1,0.30821574,0.04504372
2,0.30263838,0.051736504
3,0.29765597,0.051672794
4,0.2884483,0.05009685
5,0.28001106,0.050172336
6,0.27061582,0.048327982
7,0.2609425,0.048398808
8,0.2546997,0.05225129
9,0.24688046,0.050606657
10,0.23900887,0.053949617
11,0.23286213,0.055316314
12,0.2238691,0.053474497
13,0.21470596,0.050061725
14,0.20757961,0.046216015
15,0.19846839,0.04327068
16,0.18451259,0.03542553
17,0.17215575,0.031946328
18,0.15583828,0.03255707
19,0.14612326,0.034494903
20,0.13088897,0.038402278
21,0.11639264,0.041045904
22,0.10160002,0.041427303
23,0.0711671,0.0
