type,rank,entropy,token,token_id,seq_idx,position,context,marked_context
high,1,0.9739778637886047,9,24,135,453,"254619092, ","25461>>>9<<<092, "
high,2,0.9739310145378113,9,24,135,509,05508964,05508>>>9<<<64
high,3,0.9736027717590332,7,22,135,496,"768447737, ","76844>>>7<<<737, "
high,4,0.9735671877861023,9,24,135,479,.1496960031,.1496>>>9<<<60031
high,5,0.9732575416564941,9,24,135,423,.2798929273,.2798>>>9<<<29273
high,6,0.9731894135475159,9,24,135,467,"258309124, ","25830>>>9<<<124, "
high,7,0.9726966023445129,1,16,135,452,"1254619092,","12546>>>1<<<9092,"
high,8,0.9722847938537598,4,19,135,439,"664194279, ","66419>>>4<<<279, "
high,9,0.9722693562507629,6,21,135,451,.1254619092,.1254>>>6<<<19092
high,10,0.9718119502067566,4,19,135,495,"0768447737,","07684>>>4<<<7737,"
high,11,0.9717922210693359,4,19,135,494,.0768447737,.0768>>>4<<<47737
high,12,0.9717345833778381,0,15,135,466,"1258309124,","12583>>>0<<<9124,"
high,13,0.9717269539833069,1,16,135,437,.1664194279,.1664>>>1<<<94279
high,14,0.9715628623962402,1,16,135,468,"58309124, 0","58309>>>1<<<24, 0"
high,15,0.9713003039360046,4,19,135,511,508964,50896>>>4<<<
high,16,0.9706997871398926,2,17,135,440,"64194279, 0","64194>>>2<<<79, 0"
high,17,0.9706037640571594,9,24,131,434,"5114491dae2b',
","51144>>>9<<<1dae2b',
"
high,18,0.9703903794288635,9,24,135,425,"798929273, ","79892>>>9<<<273, "
high,19,0.9701176285743713,1,16,135,411,"137791803, ","13779>>>1<<<803, "
high,20,0.9700987339019775,4,19,131,433,cb5114491dae2b,cb5114>>>4<<<91dae2b
low,1,0.644372820854187, Dunn,63745,21,8, Winfield Culberson Dunn (born July 1, Winfield Culberson>>> Dunn<<< (born July 1
low,2,0.6457025408744812,bk,40029,7,9," (Persero) Tbk (), known as Garuda"," (Persero) T>>>bk<<< (), known as Garuda"
low,3,0.6477001905441284, (),1719,31,5,Noah Baumbach () (born September 3,Noah Baumbach>>> ()<<< (born September 3
low,4,0.6492974162101746,ul,360,90,5,Sharon Christa McAuliffe (September 2,Sharon Christa McA>>>ul<<<iffe (September 2
low,5,0.6497528553009033, city,3283,24,4,Toledo is a city in Iowa in the United,Toledo is a>>> city<<< in Iowa in the United
low,6,0.6512731313705444,3,18,15,3,1993 FIFA U-17,199>>>3<<< FIFA U-17
low,7,0.651421844959259, –,1365,38,13, 1933 – 6 October 2, 1933>>> –<<< 6 October 2
low,8,0.6534015536308289,born,15998,88,5,"George Richard Chamberlain (born March 31,","George Richard Chamberlain (>>>born<<< March 31,"
low,9,0.6538421511650085, by,553,386,3,"E-text prepared by Barbara Tozier, Bill","E-text prepared>>> by<<< Barbara Tozier, Bill"
low,10,0.6539402604103088, by,553,385,3,E-text prepared by D Alexander and the Project,E-text prepared>>> by<<< D Alexander and the Project
low,11,0.6539543271064758,in,258,11,5,Andriy Voronin (born 21,Andriy Voron>>>in<<< (born 21
low,12,0.6542051434516907, by,553,304,3,"E-text prepared by Stephen Hope, Joseph Cooper","E-text prepared>>> by<<< Stephen Hope, Joseph Cooper"
low,13,0.6543324589729309, by,553,362,3,"E-text prepared by Larry Harrison, Cindy B","E-text prepared>>> by<<< Larry Harrison, Cindy B"
low,14,0.6543428897857666, by,553,395,3,E-text prepared by Roger Frank and the Project,E-text prepared>>> by<<< Roger Frank and the Project
low,15,0.6544521450996399, Van,12710,22,11, American series created by Chris Van Dusen and produced, American series created by Chris>>> Van<<< Dusen and produced
low,16,0.6545941233634949, como,7953,268,2,escribe como iniciarías una conversación,escribe>>> como<<< iniciarías una conversación
low,17,0.6565458178520203, are,525,77,4,Dead Kennedys are a hardcore punk band from,Dead Kennedys>>> are<<< a hardcore punk band from
low,18,0.656675398349762,f,69,127,42,github.com/stefanfoulis/django-ph,github.com/stefan>>>f<<<oulis/django-ph
low,19,0.6572268009185791,ux,2200,14,13,: Impasse des Deux Anges) is a,: Impasse des De>>>ux<<< Anges) is a
low,20,0.6589750647544861, that,429,73,13, the social system or belief that gender is binary and that, the social system or belief>>> that<<< gender is binary and that
