layer,mean_util,std_util,min_util,max_util,coef_variation,dead_expert_count,overload_expert_count,entropy_mean,entropy_std
0,0.01666666753590107,0.008071362972259521,0.003303447738289833,0.04827845096588135,0.4883686602115631,0,3,0.9289929270744324,0.06608477234840393
1,0.01666666567325592,0.009099890477955341,0.001607717014849186,0.04245194420218468,0.5506009459495544,1,5,0.9426621198654175,0.03882148116827011
2,0.01666666381061077,0.008897899650037289,0.004471096210181713,0.04900016263127327,0.5383792519569397,0,2,0.9361691474914551,0.04235919937491417
3,0.01666666753590107,0.008218354545533657,0.004253995604813099,0.042522355914115906,0.49726247787475586,0,2,0.9162276387214661,0.051578719168901443
4,0.01666666753590107,0.008980217389762402,0.004752740263938904,0.046993453055620193,0.5433601140975952,0,3,0.9068694114685059,0.0493173785507679
5,0.01666666753590107,0.007173112127929926,0.003872603178024292,0.04544441029429436,0.43401873111724854,0,1,0.8940454125404358,0.062067631632089615
6,0.01666666753590107,0.006776489783078432,0.0062372381798923016,0.03695989027619362,0.4100205600261688,0,2,0.8986625075340271,0.0583052784204483
7,0.01666666567325592,0.0064796460792422295,0.007780411746352911,0.03845025599002838,0.3920595943927765,0,1,0.8688868284225464,0.0588521845638752
8,0.01666666567325592,0.005336896516382694,0.008965662680566311,0.03651982173323631,0.32291609048843384,0,1,0.8624901175498962,0.06229734793305397
9,0.01666666753590107,0.007245355751365423,0.007475297432392836,0.04174196720123291,0.43838995695114136,0,1,0.8597925901412964,0.06400714814662933
10,0.01666666753590107,0.006023580674082041,0.008044452406466007,0.035651419311761856,0.36446478962898254,0,1,0.8558961749076843,0.0659140944480896
11,0.01666666753590107,0.00781384576112032,0.006941347848623991,0.04614851996302605,0.47278714179992676,0,3,0.8496909141540527,0.06964385509490967
12,0.01666666753590107,0.006757845636457205,0.005785434506833553,0.03413758426904678,0.40889251232147217,0,3,0.8418782353401184,0.06706283986568451
13,0.01666666753590107,0.006570632103830576,0.005832375027239323,0.03518788143992424,0.3975648880004883,0,2,0.8350633978843689,0.08117680251598358
14,0.01666666567325592,0.006351166404783726,0.0068181282840669155,0.03360363468527794,0.38428571820259094,0,1,0.8334193229675293,0.07402349263429642
15,0.01666666753590107,0.007137520704418421,0.004072100855410099,0.03896073251962662,0.43186521530151367,0,2,0.8197199702262878,0.08561021089553833
16,0.01666666567325592,0.007532532326877117,0.003150890814140439,0.038186214864254,0.45576587319374084,0,2,0.809001624584198,0.09888256341218948
17,0.01666666753590107,0.006489537190645933,0.007668927777558565,0.03970591723918915,0.39265814423561096,0,1,0.8053826093673706,0.10856715589761734
18,0.01666666753590107,0.008066133596003056,0.0019010960822924972,0.05672776699066162,0.48805221915245056,0,1,0.8019436597824097,0.12518754601478577
19,0.01666666753590107,0.0063911485485732555,0.004377215169370174,0.0329640656709671,0.3867049813270569,0,0,0.8222507238388062,0.12058126926422119
20,0.01666666753590107,0.00650359271094203,0.0046471236273646355,0.033996760845184326,0.39350855350494385,0,1,0.8237894773483276,0.12521106004714966
21,0.01666666753590107,0.006628577597439289,0.005797169636934996,0.02936137281358242,0.4010709226131439,0,0,0.8232907652854919,0.13033583760261536
22,0.01666666753590107,0.006746976170688868,0.006800525821745396,0.03673692047595978,0.40823492407798767,0,2,0.8287297487258911,0.13057684898376465
23,0.01666666753590107,0.010794607922434807,0.0028751143254339695,0.07889548689126968,0.6531421542167664,0,3,0.8311663269996643,0.13102476298809052
