layer,primary_weight_mean,primary_weight_std,primary_weight_median,weight_diff_mean,weight_diff_std,weight_ratio_mean,weight_ratio_median,selected_entropy_mean,selected_entropy_std
0,0.61817294,0.091081806,0.60393184,0.23634596,0.18216361,1.8279736,1.5248178,0.9329461,0.08673624
1,0.60203856,0.079481795,0.5813031,0.20407712,0.15896359,1.6527109,1.3883625,0.9500032,0.06991754
2,0.6078592,0.08972049,0.5813031,0.21571836,0.17944098,1.7960764,1.3883625,0.94020796,0.09489231
3,0.6184164,0.09137229,0.6001884,0.2368328,0.18274458,1.8543031,1.5011779,0.9323151,0.09320604
4,0.60541385,0.08729928,0.5813031,0.21082768,0.17459856,1.7234727,1.3883625,0.94357085,0.08317734
5,0.6136357,0.09030842,0.59643316,0.22727132,0.18061684,1.8833761,1.4779042,0.93586916,0.0989449
6,0.5991761,0.07839196,0.58130306,0.19835223,0.15678392,1.6243216,1.3883625,0.9523361,0.06623884
7,0.60375434,0.08100518,0.5851012,0.20750868,0.16201036,1.6751779,1.410226,0.9481126,0.07340379
8,0.5946822,0.07789049,0.57749534,0.18936436,0.15578099,1.5960423,1.3668379,0.95513064,0.0663313
9,0.6244214,0.083924554,0.61878043,0.2488428,0.16784911,1.8324144,1.6231602,0.9325765,0.07648255
10,0.60213983,0.07747002,0.5851011,0.20427969,0.15494005,1.6405113,1.410226,0.9510232,0.06548702
11,0.5926679,0.07498275,0.57367843,0.18533581,0.1499655,1.5751718,1.3456472,0.95760655,0.06453381
12,0.6075633,0.08305861,0.5888891,0.21512665,0.16611722,1.7085782,1.432434,0.94466543,0.07532344
13,0.60187745,0.08860344,0.57749534,0.20375499,0.17720687,2.2156036,1.3668379,0.9433274,0.11459995
14,0.605845,0.084783494,0.5888891,0.21168984,0.16956699,1.709027,1.4324338,0.9447561,0.0789265
15,0.61577016,0.0897353,0.5917232,0.23154053,0.1794706,1.810624,1.4493188,0.9353116,0.087416306
16,0.6207497,0.09929905,0.59455127,0.24149954,0.1985981,2.2296917,1.466403,0.92456967,0.12000226
17,0.6233663,0.10318674,0.5964331,0.24673256,0.20637348,2.4700928,1.4779042,0.91956884,0.13075182
18,0.6374462,0.103349276,0.61693585,0.2748925,0.20669855,2.178681,1.6105287,0.90912795,0.12194316
19,0.6224551,0.101092786,0.59266657,0.24491023,0.20218557,1.9886024,1.4549915,0.92284113,0.11190988
20,0.63881534,0.11345317,0.60393184,0.27763066,0.22690634,2.4273932,1.524818,0.8995392,0.14732231
21,0.62935,0.108420536,0.6001884,0.25870007,0.21684107,2.1532855,1.5011778,0.9119986,0.1283082
22,0.63837487,0.11246828,0.60766315,0.27674973,0.22493656,2.2808588,1.5488303,0.901562,0.1348507
23,0.60958153,0.0978496,0.58130306,0.21916324,0.1956992,1.9468887,1.3883624,0.9335588,0.11351295
